RELATIVAS;PRAZO;SITUACAO;DOBRA;ABONO;QTD_DIAS_ABONO;G1INI;G1FIM;G1DOBRA;G2INI;G2FIM;G2DOBRA;G3INI;G3FIM;G3DOBRA
"24/11/2003 a 22/11/2004";"23/11/2004 a 22/11/2005";"GOZADAS";"N";"S";"10";"11/10/2004";"30/10/2004";"N";;;;;;
"23/11/2004 a 22/11/2005";"23/11/2005 a 22/11/2006";"GOZADAS";"N";"S";"10";"12/09/2005";"01/10/2005";"N";;;;;;
"23/11/2005 a 22/11/2006";"23/11/2006 a 22/11/2007";"GOZADAS";"N";"S";"10";"15/05/2006";"24/05/2006";"N";"11/09/2006";"20/09/2006";"N";;;
"23/11/2006 a 23/11/2007";"24/11/2007 a 23/11/2008";"GOZADAS";"N";"S";"10";"10/09/2007";"29/09/2007";"N";;;;;;
"24/11/2007 a 22/11/2008";"23/11/2008 a 22/11/2009";"GOZADAS";"N";"S";"10";"15/09/2008";"04/10/2008";"N";;;;;;
"23/11/2008 a 22/11/2009";"23/11/2009 a 22/11/2010";"GOZADAS";"N";"N";"0";"14/09/2009";"13/10/2009";"N";;;;;;
"23/11/2009 a 23/11/2010";"24/11/2010 a 23/11/2011";"GOZADAS";"N";"N";"0";"04/10/2010";"02/11/2010";"N";;;;;;
"24/11/2010 a 24/11/2011";"25/11/2011 a 24/11/2012";"GOZADAS";"N";"N";"0";"03/10/2011";"01/11/2011";"N";;;;;;
"25/11/2011 a 23/11/2012";"24/11/2012 a 23/11/2013";"GOZADAS";"N";"N";"0";"01/09/2012";"30/09/2012";"N";;;;;;
"24/11/2012 a 23/11/2013";"24/11/2013 a 23/11/2014";"GOZADAS";"N";"N";"0";"02/09/2013";"01/10/2013";"N";;;;;;
"24/11/2013 a 23/11/2014";"24/11/2014 a 23/11/2015";"GOZADAS";"N";"N";"0";"12/01/2015";"10/02/2015";"N";;;;;;
"24/11/2014 a 23/11/2015";"24/11/2015 a 23/11/2016";"GOZADAS";"N";"N";"0";"11/01/2016";"09/02/2016";"N";;;;;;
"24/11/2015 a 23/11/2016";"24/11/2016 a 23/11/2017";"GOZADAS";"N";"N";"0";"09/01/2017";"07/02/2017";"N";;;;;;
"24/11/2016 a 23/11/2017";"24/11/2017 a 23/11/2018";"GOZADAS";"N";"N";"0";"08/01/2018";"06/02/2018";"N";;;;;;
"24/11/2017 a 23/11/2018";"24/11/2018 a 23/11/2019";"GOZADAS";"N";"N";"0";"01/04/2019";"30/04/2019";"N";;;;;;
"24/11/2018 a 23/11/2019";"24/11/2019 a 23/11/2020";"GOZADAS";"N";"N";"0";"25/03/2020";"23/04/2020";"N";;;;;;
"24/11/2019 a 21/02/2021";"22/02/2021 a 21/02/2022";"GOZADAS";"N";"N";"0";"23/06/2020";"02/07/2020";"N";;;;;;
